post_id,text,created_at,finbertptbr_prediction,gpt_prediction,real_sentiment
1818350568730993101,"rádio café 129: mais um programa com a participação do ! fizemos um especial sobre as eleições da venezuela. veja abaixo as manchetes do dia:
economia
1. ibovespa cai com temor de aumento do risco fiscal e à espera de decisão sobre juros
2. mercado volta a projetar piora da inflação para 2024 e 2025
3. dívida pública do brasil atinge 77,8% do pib em junho, diz banco central
4. indenizações de seguros de automóveis dobram no rio grande do sul
5. pecuária do brasil exporta até vísceras e pênis bovino
6. o apagão global e a dependência tecnológica humana
7. twitter/x substitui emoji de pistola de água por revólver
8. ataque hacker afeta sistema digital do governo, que é restaurado
9. a nova ofensiva de lula contra a petrobras
10. governo quer criar 'pix dos impostos' com os bancos; bolsonaro critica
brasil
1. nadadora brasileira é expulsa das olimpíadas depois brigar com comissão técnica
2. rebeca andrade e companhia garantem 7 finais para o brasil na olimpíada de paris
3. pedido de desculpas após 'zombaria' com o cristianismo na cerimônia de abertura das olimpíadas
4. lula faz pronunciamento para atacar bolsonaro
5. 'rachadinha': luiza erundina critica decisão de boulos em favor de janones
6. lula reclama da ausência de governadores em eventos do governo
7. vídeo: datena chama militantes do psdb de 'vagabundos do caralh*'
8. pgr denuncia nikolas ferreira por injúria ao presidente lula
9. partidos aliados do pt querem esvaziar ‘cpi dos amigos de lula’
10. medida provisória do governo lula beneficia irmãos batista e prejudica nordestinos
11. psdb aciona justiça contra pronunciamento de lula em rede nacional
12. governo lula fica em silêncio sobre suspeita de fraude em eleição na venezuela
mundo
1. às vésperas da eleição, nicolás maduro reúne embaixadores, fala de novo em 'banho de sangue' e critica bolsonaro
2. eleição na venezuela é planejada para confundir eleitores, diz oposição
3. celso amorim chega à venezuela e participa de reunião com chanceler de maduro
4. mst e movimentos de esquerda do brasil parabenizam ditador nicolás maduro por vitória
5. vídeo: venezuelanos derrubam estátua de hugo chávez
6. venezuela: entenda o que pode acontecer depois de 'eleição' de maduro
7. venezuela: nicolás maduro é proclamado presidente reeleito
8. 'mpf' da venezuela anuncia investigação contra maría corina
9. oposição da venezuela contesta resultado e declara vitória de edmundo gonzález
10. governo dos eua afirma que 'reeleição' de maduro não reflete os votos dos venezuelanos
11. avançam as negociações sobre o fim da guerra na ucrânia
12. militante esquerdista que sabotou linhas de trem é preso na frança
13. o que se sabe sobre o ataque terrorista nas colinas de golã
14. erdogan ameaça colocar forças da turquia para atacar israel
15. igreja católica rompe o silêncio e se manifesta sobre a abertura das olimpíadas
16. kamala harris anuncia que está co-propondo plano de biden para reformar a suprema corte: 'ninguém está acima da lei'
17. trump foi ferido por bala de fuzil, confirma fbi",2024-07-30T15:18:53.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818379794519933068,ibovespa fecha em queda com declínio de commodities e cautela antes de fed e copom,2024-07-30T17:15:01.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818392534650851579,"confira os destaques do batendo o mapa dessa terça, 30 de julho:
• queda nas cotações do ibovespa e real;
• matérias-primas caem pela terceira sessão seguida;
• juros futuros seguem em queda com liquidez reduzida.",2024-07-30T18:05:39.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818393782179840369,"fechamento touro de ouro com 
ibovespa recua com commodities e antes da super quarta
veja tudo sobre o que movimentou a bolsa, dólar, petróleo, minério e bitcoin",2024-07-30T18:10:36.000000Z,NEGATIVE,NEUTRAL,NEGATIVE
1818400596614910182,"o ibovespa estendeu as perdas nesta terça-feira (30) e fechou em queda de 0,64%, aos 126.139 pontos, em uma sessão negativa para as ações de empresas ligadas a commodities.  em nova york, o pregão foi de baixa para o s&amp;p500 e o nasdaq, com o recuo dos papéis de tecnologia.",2024-07-30T18:37:41.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818403543692243106,ibovespa fecha em queda com recuo da vale e da petrobras na véspera de decisões de bcs,2024-07-30T18:49:23.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818408733212291222,ibovespa hoje: índice fecha em queda em sessão ruim para vale e petrobras,2024-07-30T19:10:01.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818409381815566366,ibovespa hoje – o que você precisa saber para investir nesta segunda-feira (24),2024-07-30T19:12:35.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818418799722336380,resumo do dia: exterior e commodities voltam a pesar sobre o ibovespa,2024-07-30T19:50:01.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818423297257693578,"o ibovespa engatou a segunda queda com menos 0,64%, aos 126.139,21 pontos, uma perda de 814,65 pontos.  veja as altas e quedas do dia.",2024-07-30T20:07:53.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818473271702254024,"o ibovespa segue em queda no curto prazo e no curtíssimo ainda não surgiram indícios de retomada do viés de alta, que certamente virá, pois a fenix não pode morrer, e isto pode acontece,r após a mega quarta-feira, se o fed e o governo acertarem nas suas decisões.",2024-07-30T23:26:28.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1818527253514363094,"sem cisne negro ou explosão do ibov, essa aposta já está decidia",2024-07-31T03:00:58.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1818607841227202616,"difícil, ibov teria que ser esmagado. não impossível é claro mas pouco provável",2024-07-31T08:21:12.000000Z,NEGATIVE,NEGATIVE,NEUTRAL
1818609799568761328,"não só compre ibovespa, pague imspostos com orgulho e peça por mais.",2024-07-31T08:28:59.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818613684815491576,"a posição comprada pelos gringos no índice futuro do ibovespa (cheio) apresentou leve queda no último pregão: de +99,5k para +99k de contratos.
entenda: a posição dos gringos em índice futuro, para que serve ?  via",2024-07-31T08:44:25.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1818622644477890739,dólar e ibovespa hoje: o que esperar dos negócios na b3 nesta quarta,2024-07-31T09:20:01.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818632450441908621,"ibov está a 7% do topo.
btc está a 10% do topo.
não me parecem muito diferentes.",2024-07-31T09:58:59.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818633227654832254,"ibovespa abre em alta de 0,05% a 126.200 pts",2024-07-31T10:02:04.000000Z,POSITIVE,POSITIVE,POSITIVE
1818636294907437325,ibovespa futuro sobe à espera de decisão de juros no brasil e eua. veja o resumo com fonte aqui:,2024-07-31T10:14:15.000000Z,NEGATIVE,POSITIVE,POSITIVE
1818641550248755425,"ibovespa acelera alta para 1,13%, renova máxima do dia a 127.569 pts",2024-07-31T10:35:08.000000Z,POSITIVE,POSITIVE,POSITIVE
1818645019256885635,ibovespa ao vivo: bolsa sobe com exterior e à espera de decisões sobre juros  via,2024-07-31T10:48:56.000000Z,NEUTRAL,POSITIVE,POSITIVE
1818647140064805114,"+1.92% essa semana, contra -0,25% do ibov.",2024-07-31T10:57:21.000000Z,NEGATIVE,POSITIVE,NEUTRAL
1818648556212719794,ibovespa em alta: entenda o que pode movimentar o mercado nesta quarta,2024-07-31T11:02:59.000000Z,NEUTRAL,POSITIVE,POSITIVE
1818682521288085575,"ibovespa acelera alta para 1,17%, renova máxima do dia a 127.619 pts",2024-07-31T13:17:57.000000Z,POSITIVE,POSITIVE,POSITIVE
1818686988955848973,"por enquanto registrando dia de super alta.
qual seu palpite para o fed?
nasdaq +2,56%
s&amp;p500 +1,61
ibovespa +1,19%",2024-07-31T13:35:42.000000Z,POSITIVE,POSITIVE,POSITIVE
1818688070666850674,"mercadofinanceiro: commodities garantem alta firme ao ibovespa, antes das decisões de juros do fed e do copom",2024-07-31T13:40:00.000000Z,POSITIVE,POSITIVE,POSITIVE
1818689722073354445,"minha amiga gordinha que eu incentivei a começar na academia disse que tá começando a ir porque tá gostando e não por obrigação
isso que é investimento de longo prazo rapaziada, que se foda o ibovespa",2024-07-31T13:46:34.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818691236305224185,"quem não lembra do ricardo amorim em 2010:
""ibov 200 mil pts""
faz 15 anos que ""tá barata""",2024-07-31T13:52:35.000000Z,NEGATIVE,NEUTRAL,NEGATIVE
1818694665656254706,"wege3 em 31/07/2024 +8,92%
maior alta do ibov hoje até este momento, com cotação no topo de um canal de alta.",2024-07-31T14:06:12.000000Z,POSITIVE,POSITIVE,POSITIVE
1818705140402000135,"criptos, metais e bolsa americana turbinaram os fundos no 1º semestre",2024-07-31T14:47:50.000000Z,POSITIVE,POSITIVE,POSITIVE
1818706017301025153,hypera lidera baixas do ibovespa com troca de posições no setor,2024-07-31T14:51:19.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1818724402365649190,"ibovespa acelera alta para 1,32% a 127.805 pts, com exterior",2024-07-31T16:04:22.000000Z,POSITIVE,POSITIVE,POSITIVE
1818738862904193213,daqui a pouco entra no ibov kkk,2024-07-31T17:01:50.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818743164355658034,"o ibovespa avançou após duas quedas seguidas, com agentes financeiros repercutindo resultados corporativos, entre eles os de weg, 3r e tim. dólar é cotado a r$ 5,65. confira as principais informações de economia da terceira edição do dia do cnn mercado, diego mendes.",2024-07-31T17:18:55.000000Z,NEUTRAL,POSITIVE,POSITIVE
1818748265128411384,"embalado por petróleo e fed, ibovespa fecha em alta de 1,2%; dólar sobe 0,66% e vai a r$ 5,65",2024-07-31T17:39:11.000000Z,POSITIVE,POSITIVE,POSITIVE
1818748744168329317,"ibovespa - excelente pregão do ibovespa. 
no gráfico diário, conseguiu defender importante região de suporte (fundo anterior e mm200), entrando bela força compradora que nos jogou de volta ao topo anterior e região da mm20. 
temos fundo duplo armado, porém não confirmado nessa zona de suporte. 
 nos 60 minutos, o fundo duplo armado fica mais claro (sinalizado nos círculos). 
voltamos a região de topo anterior (deixado na última sexta feira) e também a cabeça do pivot de baixa. região de resistência em confluência. 
precisa romper os 127.700 pontos para ativar o fundo duplo e abrir volta a região dos 129.500/130.000 pontos.",2024-07-31T17:41:05.000000Z,POSITIVE,POSITIVE,POSITIVE
1818755769128333381,"ibovespa fecha com alta de 1,2% após decisão de juros nos eua e à espera do copom;
bolsas nos eua têm ganhos consistentes após decisão do fed e sinalização de corte de juros em setembro..",2024-07-31T18:09:00.000000Z,POSITIVE,POSITIVE,POSITIVE
1818763414875046241,"ibovespa fecha com alta de 1,2% após decisão de juros nos eua e à espera do copom  via",2024-07-31T18:39:23.000000Z,POSITIVE,POSITIVE,POSITIVE
1818764056133877956,gestor pra postar no twitter deveria ao menos bater o ibovespa,2024-07-31T18:41:56.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818768635445256209,"• alerta de indicador: pl ibovespa
no dia 30/07/2024, o indicador p/l (preço/lucro) do índice ibovespa fechou em 8.56x.
 ↓ gráfico completo em:",2024-07-31T19:00:08.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1818768640285569209,ibovespa hoje: índice fecha em alta após falas de powell animarem o mercado,2024-07-31T19:00:09.000000Z,POSITIVE,POSITIVE,POSITIVE
1818769407365333418,ibovespa: veja os 14 destaques de hoje; weg dispara 10%,2024-07-31T19:03:12.000000Z,POSITIVE,POSITIVE,POSITIVE
1818783332101972038,"ibovespa fecho o dia com alta de +1,20%
curto prazo segue consolidado lateral. para alta romper 128k com alvo 129500, para baixa romper 126 com alvo 124.",2024-07-31T19:58:32.000000Z,POSITIVE,POSITIVE,POSITIVE
1818785502239076599,"ibovespa longo prazo muito descolado do mundo. 
mensal 2º mês de alta fechou +3,02%. tendência de alta enquanto ficar acima de 120. sentiu resistência de 127.
para alta romper 127 alvo 130 / 134
para baixa romper 124 com alvo 120
volume sumiu desde 12/2022.",2024-07-31T20:07:09.000000Z,NEGATIVE,POSITIVE,NEUTRAL
1818791257193287992,"ibovespa abre em alta!; dólar está atualmente em: 5,65",2024-07-31T20:30:01.000000Z,POSITIVE,POSITIVE,POSITIVE
1818791453751218421,vô já vi resultados melhores. com negativos na carteira e no ibov. triste dia vô.,2024-07-31T20:30:48.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818800847783886859,"performance de julho dos principais indicadores 
 ouro (bc): 5,98
 dow jones: 4,41
 btc: 3,73%
 ibovespa: 3,02
 idiv: 1,9
 índice small cap: 1,47
 s&amp;p 500: 1,13
 cdi: 0,91
 ifix: 0,53
 poupança (3): 0,57
meu cunhado vai encher a carreta de quê em agosto?",2024-07-31T21:08:08.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818808341004529824,por que o s&amp;p500 é quase imbatível e o ibovespa é uma merda?,2024-07-31T21:37:54.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818815393940541788,"síndrome da velha economia
se você montar uma carteira com bhp, goldman sachs, exxon, louis dreyfus, aes o resultado não será muito diferente do ibovespa",2024-07-31T22:05:56.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818855747318350016,"o mercado apresentou 2 dias,quase que consecutivos, do smart money se posicionando na ponta da compra no mercado interno,na sexta-feira(26/07) e ontem(31/07).podendo trazer um respiro de curtíssimo prazo para nosso mercado. formando um suporte no ibovespa nessa região dos 125.000",2024-08-01T00:46:17.000000Z,POSITIVE,POSITIVE,POSITIVE
1818935744724971900,saldo dos investidores em ibovespa futuro para 31 de julho de 2024.,2024-08-01T06:04:10.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818945384472867028,performance das ações do ibovespa vs o próprio índice,2024-08-01T06:42:28.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818965697839382932,"ibov - b3 divulga 1ª prévia do ibovespa para setembro a dezembro de 2024. auren (aure3), caixa seguridade (cxse3) e santos brasil (stbp3) foram incluídas. arezzo e grupo soma, que se fundiram, foram substituídas pela nova denominação combinada, azza3. dexco foi removida.",2024-08-01T08:03:11.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818968181379051546,"[tradewiser] foco nos índices: contexto lindo para uma alta em tudo, será? btc, spx, ibov, ndq... veja minha visão nessa tradewiser review",2024-08-01T08:13:03.000000Z,NEUTRAL,POSITIVE,NEUTRAL
1818977372428800457,"ibovespa futuro opera estável nesta quinta; selic em 10,50%",2024-08-01T08:49:35.000000Z,POSITIVE,NEUTRAL,NEUTRAL
1818988433827598339,"ibovespa futuro opera perto da estabilidade com reação ao copom e balanços
o ibovespa futuro opera próximo da estabilidade nos primeiros negócios desta quinta-feira (1º), com investidores repercutindo a decisão de manutenção dos ju...
fonte: infomoney",2024-08-01T09:33:32.000000Z,POSITIVE,NEUTRAL,NEUTRAL
1818991114818355259,"fed na contagem regressiva para setembro, enquanto copom pesa a mão no comunicado; o que esperar do ibovespa (ibov)",2024-08-01T09:44:11.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818993684454474099,"notas do dia
ibovespa reage ao comunicado do banco central sobre riscos da inflação, risco fiscal, descolamento das expectativas e cenário de juros no horizonte relevante.",2024-08-01T09:54:24.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1819001106564841911,ibovespa abre em alta com reação ao copom e balanços,2024-08-01T10:23:53.000000Z,POSITIVE,POSITIVE,POSITIVE
1819002095468421248,"bolsas da europa operam em baixa, pressionadas por ações financeiras e automotivas",2024-08-01T10:27:49.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819002438210216312,"ibovespa abre mais um dia com alta e ativos em ganhos
no pregão desta quinta-feira (1), o ibovespa abriu novamente com altas, impulsionado pelos bons desempenhos dos ativos.
saiba mais em",2024-08-01T10:29:11.000000Z,POSITIVE,POSITIVE,POSITIVE
1819006531611840615,"ibov - b3 divulga 1ª prévia do ibovespa para setembro a dezembro de 2024. auren (aure3), caixa seguridade (cxse3) e santos brasil (stbp3) foram incluídas. arezzo e grupo soma, que se fundiram, foram substituídas pela nova denominação combinada, azza3. dexco foi removida.",2024-08-01T10:45:27.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1819023454227648747,ibovespa dispara gatilho para retorno à tendência de alta -,2024-08-01T11:52:41.000000Z,POSITIVE,POSITIVE,POSITIVE
1819026638417342843,xp eleva projeção do ibovespa de 145 mil pontos para 147 mil pontos no fim de 2024,2024-08-01T12:05:21.000000Z,POSITIVE,POSITIVE,POSITIVE
1819027359481168356,o indicador antecipou o pico do ibov em dez/2023 e a queda do mês passado.,2024-08-01T12:08:13.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1819032980657983979,"ibovespa sobe na contramão de ny, enquanto juros seguem treasuires",2024-08-01T12:30:33.000000Z,NEGATIVE,NEUTRAL,POSITIVE
1819038292110696949,ibovespa sobe na contramão de ny e juros seguem treasuires,2024-08-01T12:51:39.000000Z,NEGATIVE,POSITIVE,POSITIVE
1819047787612283155,"acho que falta um ibov em dólar, só pra ampliar ainda mais a derrota",2024-08-01T13:29:23.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819047965828190593,ibovespa hoje: decisões de juros e commodities estimulam alta do índice; veja outros impactos,2024-08-01T13:30:05.000000Z,POSITIVE,POSITIVE,POSITIVE
1819048947148595535,"ibovespa opera perto da estabilidade; sobe 0,02%, aos 127.681 pts",2024-08-01T13:33:59.000000Z,POSITIVE,NEUTRAL,NEUTRAL
1819070359980605522,"++ atenção |  dólar alcança r$ 5,73; ibovespa opera na estabilidade
ontem, fed e bc mantiveram as respectivas taxas básicas; ativos corresponderam expectativa de futura redução dos juros nos eua",2024-08-01T14:59:05.000000Z,POSITIVE,NEUTRAL,NEUTRAL
1819087311159849223,"so digo q ta com uma cara de dias antes de recessão, pqp kkkk 
será que vao encontrar liquidez na ilusão de um blow of top, começar a vender aos poucos e estourar a queda numa quebra de um banco???
seria genial kkkk e catastrófico pro ibov",2024-08-01T16:06:26.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819090726958850548,xp eleva projeção do ibovespa para o final de 2024 em 5 mil pontos; confira,2024-08-01T16:20:01.000000Z,POSITIVE,POSITIVE,POSITIVE
1819094725884072093,juros contra juros. o cara não vai vender dólar para comprar ibov.,2024-08-01T16:35:54.000000Z,NEGATIVE,NEUTRAL,NEGATIVE
1819097010781249792,dólar vê maior intradiária desde 2021 e petróleo influencia ibovespa,2024-08-01T16:44:59.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1819105825446642145,mcclellan summation do ibov cedeu. abaixo da média.,2024-08-01T17:20:00.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819107745489932506,"dólar sobe forte e alcança r$ 5,74, impactando o ibovespa",2024-08-01T17:27:38.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819112459598549239,"fechamento do dia, 01/08/24
ibov miou
dolfut voou
sp500 azedou
confere aqui",2024-08-01T17:46:22.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819115434207334516,"acompanhamento da aposta:
preço inicial ibov 122637
preço mais recente ibovespa 127395
preço inicial btc/brl 324880
preço mais recente btc/brl 370293
valor inicial minha carteira passiva 2933.20
valor mais recente minha carteira 2989.77
alguem + se comparando?
se sim, comente",2024-08-01T17:58:11.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1819115686817395059,"boa noite, toro - fechamento de mercado em 01/08/2024:
o ibovespa fechou o dia a 127.395 pontos, com uma variação de -0,20%.
confira na imagem os dados do pregão na bolsa de valores brasileira e também do mercado internacional.
boa noite e até amanhã!",2024-08-01T17:59:11.000000Z,POSITIVE,NEUTRAL,NEUTRAL
1819115924948980133,"bolsa fecha em tímida queda e dólar dispara, encerra a r$ 5,73 em dia de aversão ao risco",2024-08-01T18:00:08.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819120180670173370,"mercado financeiro dólar, ibovespa e bolsas: 01/08",2024-08-01T18:17:03.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1819131765576867971,ibov de hoje fomos de um suporte a uma resistência. visão do diário e 60',2024-08-01T19:03:05.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1819140198577611148,"no oriente médio a escalada das tensões geopolíticas ofuscou as decisões de política monetária e impactou negativamente os mercados.
 pressionado pelas indefinições das commodities, juros e viés negativo do exterior, o ibovespa teve queda comedida de 0,20%.",2024-08-01T19:36:35.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819165484538798274,"ibovespa cai e dólar sobe a r$ 5,75 com decisão do copom e pessimismo em ny",2024-08-01T21:17:04.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819167802386747903,"f5 - jornal dos canyons
 fechamento ibovespa:
o ibovespa (ibov) fechou em queda nesta quinta-feira, após reverter os ganhos registrados durante a manhã, em linha com os índices americanos, que fecharam em firme queda, com investidores repercutindo comunicado do (...)",2024-08-01T21:26:17.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819176341062742301,5 anos de ibov só deu 25%,2024-08-01T22:00:13.000000Z,NEUTRAL,POSITIVE,NEUTRAL
1819212850759409820,ibovespa refletirá hoje os juros básicos do fed e do bc.,2024-08-02T00:25:17.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1819292620708868229,"""ibovespa caiu 0,20% no último fechamento"" by notícias e reportagens especiais..",2024-08-02T05:42:16.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819318090930237775,"o grande erro financeiro que eu vejo que a maioria das pessoas cometem é: tentar otimizar muito o seu portfólio!
elas ficam obcecadas em achar o melhor periodo para investir ou a hora de comprar ibov/cdi, e perdem muito tempo nisso ao invés de se concentrar em aumentar a sua renda.
você concorda?",2024-08-02T07:23:28.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1819327164254179527,bolsa ao vivo: 02/08/2024,2024-08-02T07:59:32.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1819342257222307954,"avaliar o saldo só pelo cash equities não parece adequado … é preciso também monitorar as movimentações nos contratos em aberto do índice futuro, as posições abertas em séries de opções de ibovespa e até movimentações no ewz para compreender como o gringo está posicionado em bz",2024-08-02T08:59:30.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1819343933400297931,"abriu índice futuro do ibovespa ! em queda de -0,32% neste momento, aos 127.300 pontos.",2024-08-02T09:06:10.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819347040096117093,dólar e ibovespa hoje: o que esperar dos negócios na b3 nesta sexta,2024-08-02T09:18:30.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1819351871489761707,bolsas da europa cai firme após surpresas negativas em dados dos eua,2024-08-02T09:37:42.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819354424369729675,"bolsas da ásia caem forte, após baixa em ny e com ações de chips derrubadas por intel",2024-08-02T09:47:51.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819356888602923348,"bolsa de tóquio desaba 5,8% na sessão, maior tombo diário desde março de 2020",2024-08-02T09:57:38.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819363299961577798,ibovespa abre em alta na contramão do exterior após payroll; dólar sobe,2024-08-02T10:23:07.000000Z,POSITIVE,NEUTRAL,POSITIVE
1819364985740423305,"ibovespa hoje:
 ibovespa sobe aos 127,9 mil pontos, dólar comercial oscila a r$ 5,73 e juros futuros recuam;
 ações de vale (vale3), grandes bancos e varejistas são destaques entre as altas hoje;",2024-08-02T10:29:49.000000Z,POSITIVE,POSITIVE,POSITIVE
1819373299094401265,ibovespa : bolsa vira para queda com mau humor global; petr4 e vale3 recuam.,2024-08-02T11:02:51.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819381447234572535,"e como que está o nosso ibov, -0.75%. sinistro",2024-08-02T11:35:14.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1819442409198981158,"""a bolsa tá derretendo""
meu amigo, em que mundo vc vive? o ibovespa cai 1%, mas quem fez o dever de casa está ganhando 2% sem alavancagem.",2024-08-02T15:37:28.000000Z,NEGATIVE,POSITIVE,POSITIVE
1819447238105747964,"pancada violenta nos dis, dol nas mínimas, sell-off na matriz.
ibov apanhando 1%, mas com a maioria das ações em alta.
fluxo comprador para ações de mercado interno e venda nas ações de commodities e nas ações que vinham performando bem nos últimos dias, wege3 embr3 jbss3.",2024-08-02T15:56:39.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1819449034861695362,bateria de balanços da semana que vem pega meio ibovespa:,2024-08-02T16:03:48.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1819463634722214161,"essa queda do ibovespa é normal,mercado em alerta,nossa economia está se saindo bem",2024-08-02T17:01:49.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1819468224385503542,"ibovespa flerta com 128 mil pontos, mas fecha em queda com eua",2024-08-02T17:20:03.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
