tweet,source,human_sentiment,has_human_label,date,stock,known_pumper,price_region,inflection_point,tweet_volume,hour,dayofweek,is_weekend,is_market_hours,fb_polarity,fb_label
tem a questão da taxa livre de risco também... p/l da ibovespa e a taxa selic tem correlação altíssima desde o impeachment de 2016.,analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-30 14:06:57+00:00,UNKNOWN,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,0.617,positive
"*ibovespa bate mínima, aos 126.005,36 pontos (-0,75%)*",analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 14:17:35+00:00,UNKNOWN,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,neutral
ibov x sp500 atualmente,analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-30 14:34:27+00:00,UNKNOWN,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,neutral
pregão assim eu gosto. ibov foi feito pra ser amassado,analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-30 15:01:27+00:00,UNKNOWN,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0,0.0,neutral
"rádio café 129: mais um programa com a participação do ! fizemos um especial sobre as eleições da venezuela. veja abaixo as manchetes do dia:
economia
1. ibovespa cai com temor de aumento do risco fiscal e à espera de decisão sobre juros
2. mercado volta a projetar piora da inflação para 2024 e 2025
3. dívida pública do brasil atinge 77,8% do pib em junho, diz banco central
4. indenizações de seguros de automóveis dobram no rio grande do sul
5. pecuária do brasil exporta até vísceras e pênis bovino
6. o apagão global e a dependência tecnológica humana
7. twitter/x substitui emoji de pistola de água por revólver
8. ataque hacker afeta sistema digital do governo, que é restaurado
9. a nova ofensiva de lula contra a petrobras
10. governo quer criar 'pix dos impostos' com os bancos; bolsonaro critica
brasil
1. nadadora brasileira é expulsa das olimpíadas depois brigar com comissão técnica
2. rebeca andrade e companhia garantem 7 finais para o brasil na olimpíada de paris
3. pedido de desculpas após 'zombaria' com o cristianismo na cerimônia de abertura das olimpíadas
4. lula faz pronunciamento para atacar bolsonaro
5. 'rachadinha': luiza erundina critica decisão de boulos em favor de janones
6. lula reclama da ausência de governadores em eventos do governo
7. vídeo: datena chama militantes do psdb de 'vagabundos do caralh*'
8. pgr denuncia nikolas ferreira por injúria ao presidente lula
9. partidos aliados do pt querem esvaziar ‘cpi dos amigos de lula’
10. medida provisória do governo lula beneficia irmãos batista e prejudica nordestinos
11. psdb aciona justiça contra pronunciamento de lula em rede nacional
12. governo lula fica em silêncio sobre suspeita de fraude em eleição na venezuela
mundo
1. às vésperas da eleição, nicolás maduro reúne embaixadores, fala de novo em 'banho de sangue' e critica bolsonaro
2. eleição na venezuela é planejada para confundir eleitores, diz oposição
3. celso amorim chega à venezuela e participa de reunião com chanceler de maduro
4. mst e movimentos de esquerda do brasil parabenizam ditador nicolás maduro por vitória
5. vídeo: venezuelanos derrubam estátua de hugo chávez
6. venezuela: entenda o que pode acontecer depois de 'eleição' de maduro
7. venezuela: nicolás maduro é proclamado presidente reeleito
8. 'mpf' da venezuela anuncia investigação contra maría corina
9. oposição da venezuela contesta resultado e declara vitória de edmundo gonzález
10. governo dos eua afirma que 'reeleição' de maduro não reflete os votos dos venezuelanos
11. avançam as negociações sobre o fim da guerra na ucrânia
12. militante esquerdista que sabotou linhas de trem é preso na frança
13. o que se sabe sobre o ataque terrorista nas colinas de golã
14. erdogan ameaça colocar forças da turquia para atacar israel
15. igreja católica rompe o silêncio e se manifesta sobre a abertura das olimpíadas
16. kamala harris anuncia que está co-propondo plano de biden para reformar a suprema corte: 'ninguém está acima da lei'
17. trump foi ferido por bala de fuzil, confirma fbi",analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 15:18:53+00:00,UNKNOWN,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0,0.0,neutral
ibovespa fecha em queda com declínio de commodities e cautela antes de fed e copom,analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 17:15:01+00:00,UNKNOWN,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,neutral
"confira os destaques do batendo o mapa dessa terça, 30 de julho:
• queda nas cotações do ibovespa e real;
• matérias-primas caem pela terceira sessão seguida;
• juros futuros seguem em queda com liquidez reduzida.",analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 18:05:39+00:00,UNKNOWN,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.5268,positive
"fechamento touro de ouro com 
ibovespa recua com commodities e antes da super quarta
veja tudo sobre o que movimentou a bolsa, dólar, petróleo, minério e bitcoin",analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 18:10:36+00:00,UNKNOWN,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.736,positive
"o ibovespa estendeu as perdas nesta terça-feira (30) e fechou em queda de 0,64%, aos 126.139 pontos, em uma sessão negativa para as ações de empresas ligadas a commodities.  em nova york, o pregão foi de baixa para o s&amp;p500 e o nasdaq, com o recuo dos papéis de tecnologia.",analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 18:37:41+00:00,UNKNOWN,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.5118,positive
ibovespa fecha em queda com recuo da vale e da petrobras na véspera de decisões de bcs,analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 18:49:23+00:00,UNKNOWN,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.6901,positive
ibovespa hoje: índice fecha em queda em sessão ruim para vale e petrobras,analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 19:10:01+00:00,UNKNOWN,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,neutral
ibovespa hoje – o que você precisa saber para investir nesta segunda-feira (24),analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-30 19:12:35+00:00,UNKNOWN,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,neutral
resumo do dia: exterior e commodities voltam a pesar sobre o ibovespa,analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 19:50:01+00:00,UNKNOWN,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.633,positive
"o ibovespa engatou a segunda queda com menos 0,64%, aos 126.139,21 pontos, uma perda de 814,65 pontos.  veja as altas e quedas do dia.",analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 20:07:53+00:00,UNKNOWN,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,neutral
"o ibovespa segue em queda no curto prazo e no curtíssimo ainda não surgiram indícios de retomada do viés de alta, que certamente virá, pois a fenix não pode morrer, e isto pode acontece,r após a mega quarta-feira, se o fed e o governo acertarem nas suas decisões.",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-30 23:26:28+00:00,UNKNOWN,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.7041,positive
"sem cisne negro ou explosão do ibov, essa aposta já está decidia",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 03:00:58+00:00,UNKNOWN,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,neutral
"difícil, ibov teria que ser esmagado. não impossível é claro mas pouco provável",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 08:21:12+00:00,UNKNOWN,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.6257,positive
"não só compre ibovespa, pague imspostos com orgulho e peça por mais.",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 08:28:59+00:00,UNKNOWN,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.5307,positive
"a posição comprada pelos gringos no índice futuro do ibovespa (cheio) apresentou leve queda no último pregão: de +99,5k para +99k de contratos.
entenda: a posição dos gringos em índice futuro, para que serve ?  via",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 08:44:25+00:00,UNKNOWN,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,neutral
dólar e ibovespa hoje: o que esperar dos negócios na b3 nesta quarta,analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 09:20:01+00:00,UNKNOWN,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,0.0,neutral
"ibov está a 7% do topo.
btc está a 10% do topo.
não me parecem muito diferentes.",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 09:58:59+00:00,UNKNOWN,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,0.0,neutral
"ibovespa abre em alta de 0,05% a 126.200 pts",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 10:02:04+00:00,UNKNOWN,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,neutral
ibovespa futuro sobe à espera de decisão de juros no brasil e eua. veja o resumo com fonte aqui:,analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 10:14:15+00:00,UNKNOWN,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,neutral
"ibovespa acelera alta para 1,13%, renova máxima do dia a 127.569 pts",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 10:35:08+00:00,UNKNOWN,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.5626,positive
ibovespa ao vivo: bolsa sobe com exterior e à espera de decisões sobre juros  via,analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 10:48:56+00:00,UNKNOWN,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,neutral
"+1.92% essa semana, contra -0,25% do ibov.",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 10:57:21+00:00,UNKNOWN,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,neutral
ibovespa em alta: entenda o que pode movimentar o mercado nesta quarta,analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 11:02:59+00:00,UNKNOWN,0.0,0.0,0.0,0.0,11.0,2.0,0.0,1.0,0.6476,positive
"ibovespa acelera alta para 1,17%, renova máxima do dia a 127.619 pts",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 13:17:57+00:00,UNKNOWN,0.0,0.0,0.0,0.0,13.0,2.0,0.0,1.0,0.5545,positive
"por enquanto registrando dia de super alta.
qual seu palpite para o fed?
nasdaq +2,56%
s&amp;p500 +1,61
ibovespa +1,19%",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 13:35:42+00:00,UNKNOWN,0.0,0.0,0.0,0.0,13.0,2.0,0.0,1.0,0.0,neutral
"mercadofinanceiro: commodities garantem alta firme ao ibovespa, antes das decisões de juros do fed e do copom",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 13:40:00+00:00,UNKNOWN,0.0,0.0,0.0,0.0,13.0,2.0,0.0,1.0,0.5386,positive
"minha amiga gordinha que eu incentivei a começar na academia disse que tá começando a ir porque tá gostando e não por obrigação
isso que é investimento de longo prazo rapaziada, que se foda o ibovespa",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 13:46:34+00:00,UNKNOWN,0.0,0.0,0.0,0.0,13.0,2.0,0.0,1.0,0.8196,positive
"quem não lembra do ricardo amorim em 2010:
""ibov 200 mil pts""
faz 15 anos que ""tá barata""",analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-31 13:52:35+00:00,UNKNOWN,0.0,0.0,0.0,0.0,13.0,2.0,0.0,1.0,0.7274,positive
"wege3 em 31/07/2024 +8,92%
maior alta do ibov hoje até este momento, com cotação no topo de um canal de alta.",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 14:06:12+00:00,UNKNOWN,0.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,0.0,neutral
"criptos, metais e bolsa americana turbinaram os fundos no 1º semestre",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 14:47:50+00:00,UNKNOWN,0.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,0.5629,positive
hypera lidera baixas do ibovespa com troca de posições no setor,analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 14:51:19+00:00,UNKNOWN,0.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,0.0,neutral
"ibovespa acelera alta para 1,32% a 127.805 pts, com exterior",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 16:04:22+00:00,UNKNOWN,0.0,0.0,0.0,0.0,16.0,2.0,0.0,1.0,0.0,neutral
daqui a pouco entra no ibov kkk,analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 17:01:50+00:00,UNKNOWN,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,neutral
"o ibovespa avançou após duas quedas seguidas, com agentes financeiros repercutindo resultados corporativos, entre eles os de weg, 3r e tim. dólar é cotado a r$ 5,65. confira as principais informações de economia da terceira edição do dia do cnn mercado, diego mendes.",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 17:18:55+00:00,UNKNOWN,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,neutral
"embalado por petróleo e fed, ibovespa fecha em alta de 1,2%; dólar sobe 0,66% e vai a r$ 5,65",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 17:39:11+00:00,UNKNOWN,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.5384,positive
"ibovespa - excelente pregão do ibovespa. 
no gráfico diário, conseguiu defender importante região de suporte (fundo anterior e mm200), entrando bela força compradora que nos jogou de volta ao topo anterior e região da mm20. 
temos fundo duplo armado, porém não confirmado nessa zona de suporte. 
 nos 60 minutos, o fundo duplo armado fica mais claro (sinalizado nos círculos). 
voltamos a região de topo anterior (deixado na última sexta feira) e também a cabeça do pivot de baixa. região de resistência em confluência. 
precisa romper os 127.700 pontos para ativar o fundo duplo e abrir volta a região dos 129.500/130.000 pontos.",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 17:41:05+00:00,UNKNOWN,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,neutral
"ibovespa fecha com alta de 1,2% após decisão de juros nos eua e à espera do copom;
bolsas nos eua têm ganhos consistentes após decisão do fed e sinalização de corte de juros em setembro..",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 18:09:00+00:00,UNKNOWN,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,neutral
"ibovespa fecha com alta de 1,2% após decisão de juros nos eua e à espera do copom  via",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 18:39:23+00:00,UNKNOWN,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.6253,positive
gestor pra postar no twitter deveria ao menos bater o ibovespa,analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 18:41:56+00:00,UNKNOWN,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.6681,positive
"• alerta de indicador: pl ibovespa
no dia 30/07/2024, o indicador p/l (preço/lucro) do índice ibovespa fechou em 8.56x.
 ↓ gráfico completo em:",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 19:00:08+00:00,UNKNOWN,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,neutral
ibovespa hoje: índice fecha em alta após falas de powell animarem o mercado,analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 19:00:09+00:00,UNKNOWN,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,neutral
ibovespa: veja os 14 destaques de hoje; weg dispara 10%,analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 19:03:12+00:00,UNKNOWN,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,neutral
"ibovespa fecho o dia com alta de +1,20%
curto prazo segue consolidado lateral. para alta romper 128k com alvo 129500, para baixa romper 126 com alvo 124.",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 19:58:32+00:00,UNKNOWN,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,neutral
"ibovespa longo prazo muito descolado do mundo. 
mensal 2º mês de alta fechou +3,02%. tendência de alta enquanto ficar acima de 120. sentiu resistência de 127.
para alta romper 127 alvo 130 / 134
para baixa romper 124 com alvo 120
volume sumiu desde 12/2022.",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 20:07:09+00:00,UNKNOWN,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,neutral
"ibovespa abre em alta!; dólar está atualmente em: 5,65",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-07-31 20:30:01+00:00,UNKNOWN,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,neutral
vô já vi resultados melhores. com negativos na carteira e no ibov. triste dia vô.,analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-31 20:30:48+00:00,UNKNOWN,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,neutral
"performance de julho dos principais indicadores 
 ouro (bc): 5,98
 dow jones: 4,41
 btc: 3,73%
 ibovespa: 3,02
 idiv: 1,9
 índice small cap: 1,47
 s&amp;p 500: 1,13
 cdi: 0,91
 ifix: 0,53
 poupança (3): 0,57
meu cunhado vai encher a carreta de quê em agosto?",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 21:08:08+00:00,UNKNOWN,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,neutral
por que o s&amp;p500 é quase imbatível e o ibovespa é uma merda?,analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-31 21:37:54+00:00,UNKNOWN,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,neutral
"síndrome da velha economia
se você montar uma carteira com bhp, goldman sachs, exxon, louis dreyfus, aes o resultado não será muito diferente do ibovespa",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-31 22:05:56+00:00,UNKNOWN,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.6189,positive
"o mercado apresentou 2 dias,quase que consecutivos, do smart money se posicionando na ponta da compra no mercado interno,na sexta-feira(26/07) e ontem(31/07).podendo trazer um respiro de curtíssimo prazo para nosso mercado. formando um suporte no ibovespa nessa região dos 125.000",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-08-01 00:46:17+00:00,UNKNOWN,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,neutral
saldo dos investidores em ibovespa futuro para 31 de julho de 2024.,analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-08-01 06:04:10+00:00,UNKNOWN,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,neutral
performance das ações do ibovespa vs o próprio índice,analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-08-01 06:42:28+00:00,UNKNOWN,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,neutral
"ibov - b3 divulga 1ª prévia do ibovespa para setembro a dezembro de 2024. auren (aure3), caixa seguridade (cxse3) e santos brasil (stbp3) foram incluídas. arezzo e grupo soma, que se fundiram, foram substituídas pela nova denominação combinada, azza3. dexco foi removida.",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-08-01 08:03:11+00:00,UNKNOWN,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,neutral
"[tradewiser] foco nos índices: contexto lindo para uma alta em tudo, será? btc, spx, ibov, ndq... veja minha visão nessa tradewiser review",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-08-01 08:13:03+00:00,UNKNOWN,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,neutral
"ibovespa futuro opera estável nesta quinta; selic em 10,50%",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-08-01 08:49:35+00:00,UNKNOWN,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,neutral
"ibovespa futuro opera perto da estabilidade com reação ao copom e balanços
o ibovespa futuro opera próximo da estabilidade nos primeiros negócios desta quinta-feira (1º), com investidores repercutindo a decisão de manutenção dos ju...
fonte: infomoney",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-08-01 09:33:32+00:00,UNKNOWN,0.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,0.0,neutral
"fed na contagem regressiva para setembro, enquanto copom pesa a mão no comunicado; o que esperar do ibovespa (ibov)",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-08-01 09:44:11+00:00,UNKNOWN,0.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,0.6728,positive
"notas do dia
ibovespa reage ao comunicado do banco central sobre riscos da inflação, risco fiscal, descolamento das expectativas e cenário de juros no horizonte relevante.",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-08-01 09:54:24+00:00,UNKNOWN,0.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,0.0,neutral
ibovespa abre em alta com reação ao copom e balanços,analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-08-01 10:23:53+00:00,UNKNOWN,0.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,0.6846,positive
"bolsas da europa operam em baixa, pressionadas por ações financeiras e automotivas",analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-08-01 10:27:49+00:00,UNKNOWN,0.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,0.5764,positive
"ibovespa abre mais um dia com alta e ativos em ganhos
no pregão desta quinta-feira (1), o ibovespa abriu novamente com altas, impulsionado pelos bons desempenhos dos ativos.
saiba mais em",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-08-01 10:29:11+00:00,UNKNOWN,0.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,0.5818,positive
"ibov - b3 divulga 1ª prévia do ibovespa para setembro a dezembro de 2024. auren (aure3), caixa seguridade (cxse3) e santos brasil (stbp3) foram incluídas. arezzo e grupo soma, que se fundiram, foram substituídas pela nova denominação combinada, azza3. dexco foi removida.",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-08-01 10:45:27+00:00,UNKNOWN,0.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,0.0,neutral
ibovespa dispara gatilho para retorno à tendência de alta -,analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-08-01 11:52:41+00:00,UNKNOWN,0.0,0.0,0.0,0.0,11.0,3.0,0.0,1.0,0.535,positive
xp eleva projeção do ibovespa de 145 mil pontos para 147 mil pontos no fim de 2024,analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-08-01 12:05:21+00:00,UNKNOWN,0.0,0.0,0.0,0.0,12.0,3.0,0.0,1.0,0.0,neutral
o indicador antecipou o pico do ibov em dez/2023 e a queda do mês passado.,analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-08-01 12:08:13+00:00,UNKNOWN,0.0,0.0,0.0,0.0,12.0,3.0,0.0,1.0,0.5478,positive
"ibovespa sobe na contramão de ny, enquanto juros seguem treasuires",analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-08-01 12:30:33+00:00,UNKNOWN,0.0,0.0,0.0,0.0,12.0,3.0,0.0,1.0,0.0,neutral
ibovespa sobe na contramão de ny e juros seguem treasuires,analise_sentimentos_ibovespa_twitter.csv,1.0,1.0,2024-08-01 12:51:39+00:00,UNKNOWN,0.0,0.0,0.0,0.0,12.0,3.0,0.0,1.0,0.0,neutral
